ANSICpc,ANSICpcPlus1,ANSICpcPlus2,ANSIC1kpc,ANSIC1kPlus1,ANSIC1kPlus2,ANSIC10k,ANSIC10kPlus1,ANSIC10kPlus2,badLCG1k,badLCG1kPlus1
"1596931219.000000 ",1329896722.000000,663285295.000000,"638622610.000000 ",179878594.000000,1477106274.000000,5,4,"32343.000000 ","90.000000 ","20.000000 "
"1329896722.000000 ",663285295.000000,1240747110.000000,"179878594.000000 ",1477106274.000000,496132959.000000,4,"32343.000000 ","323410002.000000 ","20.000000 ","83.000000 "
"663285295.000000 ",1240747110.000000,427408299.000000,"1477106274.000000 ",496132959.000000,802397314.000000,"32343.000000 ","323410002.000000 ","1813732103.000000 ","83.000000 ","97.000000 "
"1240747110.000000 ",427408299.000000,1511244634.000000,"496132959.000000 ",802397314.000000,878259002.000000,"323410002.000000 ","1813732103.000000 ","7902882.000000 ","97.000000 ","44.000000 "
"427408299.000000 ",1511244634.000000,1436859399.000000,"802397314.000000 ",878259002.000000,1623138175.000000,"1813732103.000000 ","7902882.000000 ","1711518135.000000 ","44.000000 ","21.000000 "
"1511244634.000000 ",1436859399.000000,515172078.000000,"878259002.000000 ",1623138175.000000,120419015.000000,"7902882.000000 ","1711518135.000000 ","172653298.000000 ","21.000000 ","72.000000 "
"1436859399.000000 ",515172078.000000,1609924163.000000,"1623138175.000000 ",120419015.000000,883541335.000000,"1711518135.000000 ","172653298.000000 ","1930969703.000000 ","72.000000 ","16.000000 "
"515172078.000000 ",1609924163.000000,468714530.000000,"120419015.000000 ",883541335.000000,2067374687.000000,"172653298.000000 ","1930969703.000000 ","1888077122.000000 ","16.000000 ","26.000000 "
"1609924163.000000 ",468714530.000000,1305594207.000000,"883541335.000000 ",2067374687.000000,1989283602.000000,"1930969703.000000 ","1888077122.000000 ","354405655.000000 ","26.000000 ","17.000000 "
"468714530.000000 ",1305594207.000000,404819958.000000,"2067374687.000000 ",1989283602.000000,133481034.000000,"1888077122.000000 ","354405655.000000 ","354137490.000000 ","17.000000 ","15.000000 "
"1305594207.000000 ",404819958.000000,1422482523.000000,"1989283602.000000 ",133481034.000000,630917282.000000,"354405655.000000 ","354137490.000000 ","1967722951.000000 ","15.000000 ","37.000000 "
